ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","01-Oct-2025","872.45","872.30","876.45","862.80","865.15","864.10","866.79","1,08,32,384","9,38,94,46,664.65","2,18,205","46,93,297","43.33"
"SBIN","EQ","03-Oct-2025","864.10","865.15","873.00","863.80","867.70","867.30","867.43","80,19,442","6,95,62,90,461.70","1,54,834","33,06,577","41.23"
"SBIN","T0","03-Oct-2025","864.10","865.00","865.00","865.00","865.00","867.30","865.00","2","1,730.00","2","2","100.00"
"SBIN","EQ","06-Oct-2025","867.30","868.00","875.30","862.80","873.80","874.05","868.71","78,20,352","6,79,36,31,063.50","1,64,571","31,54,409","40.34"
"SBIN","BL","07-Oct-2025","601.30","870.00","870.00","870.00","870.00","870.00","870.00","5,41,065","47,07,26,550.00","1","-","-"
"SBIN","EQ","07-Oct-2025","874.05","874.15","877.00","863.00","864.15","864.70","868.32","92,42,580","8,02,55,23,526.10","1,67,126","38,36,557","41.51"
"SBIN","BL","08-Oct-2025","870.00","861.50","861.50","861.50","861.50","861.50","861.50","5,41,064","46,61,26,636.00","1","-","-"
"SBIN","EQ","08-Oct-2025","864.70","866.80","867.80","857.25","857.30","858.25","860.69","71,56,112","6,15,92,18,647.30","1,29,510","31,96,676","44.67"
"SBIN","EQ","09-Oct-2025","858.25","861.60","865.80","858.10","861.40","862.10","861.48","70,20,501","6,04,80,14,878.90","1,21,377","29,84,085","42.51"
"SBIN","EQ","10-Oct-2025","862.10","862.10","883.75","861.30","881.25","880.65","879.53","1,37,13,015","12,06,10,33,018.65","1,91,535","72,96,399","53.21"
"SBIN","T0","10-Oct-2025","862.10","871.00","871.00","870.85","870.85","880.65","870.90","3","2,612.70","3","3","100.00"
"SBIN","EQ","13-Oct-2025","880.65","879.00","888.10","876.00","884.00","882.95","884.03","1,19,23,143","10,54,03,93,655.95","1,98,375","65,28,484","54.75"
"SBIN","T0","13-Oct-2025","880.65","880.65","893.00","880.65","885.00","882.95","886.91","8","7,095.30","8","2","25.00"
"SBIN","EQ","14-Oct-2025","882.95","883.00","884.15","872.10","876.00","876.95","876.97","76,81,973","6,73,68,96,799.30","1,34,593","30,64,779","39.90"
"SBIN","EQ","15-Oct-2025","876.95","878.10","887.50","877.05","886.90","886.10","884.42","82,69,225","7,31,35,05,128.55","2,46,174","48,61,701","58.79"
"SBIN","T0","15-Oct-2025","876.95","885.00","890.00","885.00","887.00","886.10","887.33","3","2,662.00","3","1","33.33"
"SBIN","EQ","16-Oct-2025","886.10","888.30","891.85","882.45","886.20","886.95","887.32","84,93,686","7,53,65,87,997.50","2,69,552","48,79,105","57.44"
"SBIN","T0","16-Oct-2025","886.10","889.00","890.10","889.00","890.10","886.95","889.55","2","1,779.10","2","1","50.00"
"SBIN","EQ","17-Oct-2025","886.95","887.50","894.75","883.00","888.00","889.15","888.75","85,11,854","7,56,49,50,031.25","2,31,474","38,38,989","45.10"
"SBIN","EQ","20-Oct-2025","889.15","894.60","913.65","891.05","907.00","907.50","905.33","1,35,46,463","12,26,40,27,405.35","2,41,758","61,92,509","45.71"
"SBIN","T0","20-Oct-2025","889.15","907.00","907.00","907.00","907.00","907.50","907.00","1","907.00","1","1","100.00"
"SBIN","EQ","21-Oct-2025","907.50","908.00","910.00","906.40","907.05","907.85","907.99","17,83,576","1,61,94,77,226.40","51,138","10,97,286","61.54"
"SBIN","EQ","23-Oct-2025","907.85","912.00","918.00","904.80","909.10","911.55","913.11","1,33,82,769","12,21,99,45,497.55","3,38,233","84,33,759","63.02"
"SBIN","EQ","24-Oct-2025","911.55","910.95","914.10","900.95","904.00","904.50","905.66","53,13,227","4,81,19,92,307.85","1,73,275","21,23,446","39.97"
"SBIN","EQ","27-Oct-2025","904.50","906.95","928.00","906.00","926.90","922.75","918.09","91,50,761","8,40,12,63,077.15","1,79,901","54,28,432","59.32"
"SBIN","T0","27-Oct-2025","904.50","910.00","920.00","910.00","920.00","922.75","915.00","2","1,830.00","2","-","-"
"SBIN","EQ","28-Oct-2025","922.75","927.10","935.85","917.70","930.50","930.25","927.38","2,20,66,289","20,46,37,62,333.00","3,33,815","1,09,43,585","49.59"
"SBIN","EQ","29-Oct-2025","930.25","933.90","942.05","930.25","939.00","939.75","937.90","1,23,14,222","11,54,94,98,004.30","2,38,682","62,58,775","50.83"
"SBIN","EQ","30-Oct-2025","939.75","939.45","944.90","933.05","934.50","934.35","938.89","1,30,44,473","12,24,72,65,996.75","2,48,310","57,13,901","43.80"
"SBIN","T0","30-Oct-2025","939.75","931.00","931.00","931.00","931.00","934.35","931.00","1","931.00","1","1","100.00"
